epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,12847.2,1.38399,1.18386,1.39573,0.65254,0.63813,0.65553,0.35123,1.68273,1.36701,1.62167,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13149.6,1.38919,1.18469,1.39534,0.67775,0.62318,0.65919,0.35412,1.67769,1.34874,1.62608,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13453.4,1.3643,1.16306,1.38662,0.6777,0.62436,0.65254,0.35151,1.68539,1.33975,1.63055,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13756.4,1.36394,1.16407,1.38957,0.68006,0.61522,0.65418,0.34944,1.68711,1.3451,1.63376,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14059.6,1.35011,1.13861,1.37779,0.67725,0.62154,0.65908,0.34924,1.6903,1.32588,1.63874,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14363.2,1.34132,1.13493,1.37032,0.67972,0.62098,0.6551,0.34812,1.6876,1.33353,1.62939,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14667.6,1.33035,1.10076,1.35998,0.66488,0.63439,0.65048,0.35147,1.69108,1.32734,1.63647,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14971.5,1.32504,1.08869,1.35906,0.68473,0.60898,0.64851,0.34728,1.70904,1.34433,1.65442,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15274.8,1.31222,1.08683,1.35125,0.67362,0.62447,0.65611,0.34911,1.70494,1.34046,1.64978,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15577.6,1.30714,1.06551,1.34944,0.66121,0.63389,0.65515,0.34797,1.70857,1.33138,1.657,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
